"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R111","RESC1608X55N","125.95mm","92.3083mm","125.95mm","92.3083mm","125.15mm","92.3083mm","T","360.00","10k"
"R43","RESC1608X55N","10.95mm","17.575mm","10.95mm","17.575mm","10.95mm","16.775mm","B","90.00","0"
"R42","RESC1608X55N","4.25mm","21.85mm","4.25mm","21.85mm","5.05mm","21.85mm","B","180.00","16k9"
"R41","RESC1608X55N","4.2mm","23.2mm","4.2mm","23.2mm","3.4mm","23.2mm","B","360.00","35k7"
"R40","RESC1608X55N","1.7772mm","22.202mm","1.7772mm","22.202mm","1.7772mm","21.402mm","T","90.00","0"
"R39","RESC1608X55N","1.7772mm","25.3259mm","1.7772mm","25.3259mm","1.7772mm","26.1259mm","T","270.00","0"
"R32","RESC1608X55N","28.0279mm","25.6907mm","28.0279mm","25.6907mm","28.828mm","25.6907mm","T","180.00","240"
"R30","RESC1608X55N","18.475mm","16.875mm","18.475mm","16.875mm","17.675mm","16.875mm","B","360.00","5k49"
"R29","RESC1608X55N","4.25mm","23.2125mm","4.25mm","23.2125mm","5.05mm","23.2125mm","T","180.00","0"
"R28","RESC1608X55N","4.25mm","24.6mm","4.25mm","24.6mm","3.45mm","24.6mm","T","360.00","0"
"R27","RESC1608X55N","12.675mm","17.675mm","12.675mm","17.675mm","12.675mm","18.475mm","B","270.00","0"
"R26","RESC1608X55N","18.425mm","16.65mm","18.425mm","16.65mm","17.625mm","16.65mm","T","360.00","28k7"
"R25","RESC1608X55N","18.4mm","20.5mm","18.4mm","20.5mm","19.2mm","20.5mm","T","180.00","35k7"
"C142","CAPC1608X87N","9.95mm","29.575mm","9.95mm","29.575mm","10.75mm","29.575mm","T","180.00","100nF"
"C141","CAPC1608X87N","4.25mm","26mm","4.25mm","26mm","3.45mm","26mm","B","360.00","15nF"
"C41","CAPC1608X87N","4.275mm","24.6mm","4.275mm","24.6mm","3.475mm","24.6mm","B","360.00","47pF"
"C39","CAPC1608X87N","4.25mm","26.0125mm","4.25mm","26.0125mm","3.45mm","26.0125mm","T","360.00","1uF"
"C38","CAPC1608X87N","13.85mm","18.45mm","13.85mm","18.45mm","14.65mm","18.45mm","T","180.00","100nF"
"C36","CAPC1608X87N","4.25mm","21.85mm","4.25mm","21.85mm","3.45mm","21.85mm","T","360.00","1uF"
"C35","CAPC1608X87N","14.625mm","17.65mm","14.625mm","17.65mm","14.625mm","16.85mm","B","90.00","15nF"
"C33","CAPC2012X135N","7.25mm","30.15mm","7.25mm","30.15mm","7.25mm","31.05mm","B","270.00","4.7uF"
"C29","CAPC1608X87N","18.425mm","18.725mm","18.425mm","18.725mm","19.225mm","18.725mm","T","180.00","100pF"
"X2","OSCSC508P500X700X180-4N","94.7mm","106.975mm","94.7mm","106.975mm","92.16mm","104.925mm","T","90.00","32.768MHz"
"U16","SO8","97.7373mm","39.6791mm","97.7373mm","39.6791mm","95.1341mm","41.5841mm","T","0.00","M24C32-WMN6TP"
"U15","SOP65P640X120-20N","118.525mm","95mm","118.525mm","95mm","121.425mm","92.075mm","T","180.00","TXS0108EPWR"
"U14","E-13.4X13.3-N100_0.75-TOP","109.3193mm","105.8659mm","115.9693mm","99.1659mm","115.2943mm","99.8409mm","T","90.00","WL1835"
"U13","SOP65P640X120-20N","103.55mm","94.775mm","103.55mm","94.775mm","100.65mm","97.7mm","T","360.00","TXS0108EPWR"
"U12","SO8","41.6209mm","-1.8866mm","41.6209mm","-1.8866mm","39.7159mm","-4.4898mm","T","90.00","LT1118CS8-2.5"
"U11","KS8995MA","116.875mm","57.25mm","116.875mm","57.25mm","125.025mm","48mm","T","180.00","KS8995MA"
"U3","CP-48-13_M","11.45mm","24.175mm","11.45mm","24.175mm","8.7mm","20.65mm","T","90.00","ADP5052"
"U2","SO8","28.9946mm","16.3978mm","28.9947mm","16.3978mm","27.0896mm","13.7946mm","T","90.00","LT3021-1.2"
"R110","RESC1608X55N","18.4mm","20.5mm","18.4mm","20.5mm","17.6mm","20.5mm","B","360.00","3k24"
"R109","RESC1608X55N","18.45mm","24.425mm","18.45mm","24.425mm","19.25mm","24.425mm","B","180.00","0"
"R108","RESC1608X55N","18.45mm","26.3mm","18.45mm","26.3mm","17.65mm","26.3mm","T","360.00","13k3"
"R107","RESC1608X55N","18.45mm","24.425mm","18.45mm","24.425mm","19.25mm","24.425mm","T","180.00","41k2"
"R106","RESC1608X55N","9.8mm","39.575mm","9.8mm","39.575mm","10.6mm","39.575mm","T","180.00","22k"
"R105","RESC1608X55N","12.875mm","39.55mm","12.875mm","39.55mm","12.075mm","39.55mm","T","360.00","22k"
"R104","RESC1608X55N","4.3mm","31mm","4.3mm","31mm","5.1mm","31mm","B","180.00","4k42"
"R103","RESC1608X55N","4.25mm","27.375mm","4.25mm","27.375mm","5.05mm","27.375mm","B","180.00","0"
"R102","RESC1608X55N","3.425mm","30.275mm","3.425mm","30.275mm","3.425mm","29.475mm","T","90.00","64k9"
"R101","RESC1608X55N","4.955mm","30.2249mm","4.955mm","30.2249mm","4.955mm","31.0249mm","T","270.00","16k2"
"R100","RESC1608X55N","6.825mm","17.575mm","6.825mm","17.575mm","6.825mm","18.375mm","B","270.00","8k66"
"R99","RESC1608X55N","1.7772mm","19.0781mm","1.7772mm","19.0781mm","1.7772mm","18.2781mm","T","90.00","0"
"R98","RESC1608X55N","1.7772mm","28.4499mm","1.7772mm","28.4499mm","1.7772mm","29.2499mm","T","270.00","0"
"R97","RESC1608X55N","89.425mm","59.55mm","89.425mm","59.55mm","88.625mm","59.55mm","T","360.00","49R9"
"R96","RESC1608X55N","89.4mm","57.6mm","89.4mm","57.6mm","88.6mm","57.6mm","T","360.00","49R9"
"R95","RESC1608X55N","89.375mm","55.6mm","89.375mm","55.6mm","88.575mm","55.6mm","T","360.00","49R9"
"R94","RESC1608X55N","89.425mm","53.575mm","89.425mm","53.575mm","88.625mm","53.575mm","T","360.00","49R9"
